user,rating,date,review,helpful_count,clean_review
Len Seet,2,2024-01-12 08:23:17,Bugs on obtaining transaction codes keep popping up. Only solution is to reinstall the app Everytime this happens,0,bugs on obtaining transaction codes keep popping up only solution is to reinstall the app everytime this happens
Peter Shaw,2,2024-01-09 00:11:20,Taking pics of business checks is a problem. It can take 20 minutes or tries to take a pic to get the app to work,0,taking pics of business checks is a problem it can take minutes or tries to take a pic to get the app to work
simon charnock,1,2023-12-28 23:07:52,"Terrible app, limited information available / shown.",0,terrible app limited information available shown
S A M,5,2023-12-15 17:36:42,Very good,0,very good
Reza,5,2023-12-14 16:13:53,Great,0,great
Vaibhav Tathe,4,2023-12-11 16:57:26,ok to use,0,ok to use
Sudarmono Nugroho,5,2023-12-11 11:17:02,Very easy for online transaction,0,very easy for online transaction
Sri Nath,5,2023-12-09 14:55:56,Nice Business Tool,0,nice business tool
Ralph Jin,1,2023-12-02 23:25:09,Update: Unable to use the app now. It said some error occurred during the app update,2,update unable to use the app now it said some error occurred during the app update
yusuf khanji,1,2023-12-01 00:56:07,one of the worst bank in the world with worst facilities and application.,0,one of the worst bank in the world with worst facilities and application
Stephen Maile,1,2023-11-28 03:46:53,"This used to be fine, but now for some reason it won't let you open the app if you are using a custom keyboard. Never mind that I use Microsoft SwiftKey ; never mind that I've never seen this restriction on *any* other app, financial or otherwise, including HSBC's own Business Banking app, which still works fine. Now I have to change keyboard every time I want to authenticate. What a joke. Edit - this seems to have been sorted with today's update, but will reserve judgement till confirmed permt",6,this used to be fine but now for some reason it wont let you open the app if you are using a custom keyboard never mind that i use microsoft swiftkey never mind that ive never seen this restriction on any other app financial or otherwise including hsbcs own business banking app which still works fine now i have to change keyboard every time i want to authenticate what a joke edit this seems to have been sorted with todays update but will reserve judgement till confirmed permt
thakon thanametpiya,1,2023-11-27 09:14:06,"New updates are not allowed to use Gboard. Now, I have to change keyboards every time when I use the app.",0,new updates are not allowed to use gboard now i have to change keyboards every time when i use the app
PRAVIN MICHEAL RAJ,1,2023-11-23 14:17:15,Not able to login mentioned disable custom keyboard in settings I'm using Gboard since day one of this mobile.,0,not able to login mentioned disable custom keyboard in settings im using gboard since day one of this mobile
Kumaresan Puliyadi,4,2023-11-22 16:19:13,Very comfortable,0,very comfortable
Francis Bernard,1,2023-11-21 21:53:31,The mobile app forces you to use the default keyboard (Samsung in my case). This is useless.,0,the mobile app forces you to use the default keyboard samsung in my case this is useless
Alexander Goodwille,1,2023-11-21 19:59:48,"Shocking app, does not work well with multiple accounts. Does not let me use a custom keyboard (I don't care what useless excuses they give there is no reason for this, there are more secure platforms than HSBC that do not have this stipulation).",1,shocking app does not work well with multiple accounts does not let me use a custom keyboard i dont care what useless excuses they give there is no reason for this there are more secure platforms than hsbc that do not have this stipulation
Melissa Wallace,1,2023-11-21 19:43:10,"The app is extremely difficult and complicated to use, I only use it because I have to",0,the app is extremely difficult and complicated to use i only use it because i have to
Adrian Buckley,5,2023-11-21 18:22:00,Easy intuitive operation,0,easy intuitive operation
Timothy N,3,2023-11-21 17:04:00,Not easy to use,0,not easy to use
Paul D,1,2023-11-21 15:36:51,can't use Google keyboard ??,0,cant use google keyboard
Steve Peck,5,2023-11-11 15:45:39,Easy to use.,0,easy to use
V V,2,2023-11-03 22:33:52,Slow and check scanning is weak,0,slow and check scanning is weak
GAURAV GUPTA,5,2023-11-03 17:41:50,Good app,1,good app
Fauzan Samantha,5,2023-11-03 09:49:12,Ok,1,ok
Brad Savage,1,2023-11-03 01:59:19,Takes forever to get logged in online on my computer using the authentication methods in this app. And sometimes just doesn't work at all (like today). Please fix,0,takes forever to get logged in online on my computer using the authentication methods in this app and sometimes just doesnt work at all like today please fix
Nitin Shaji,5,2023-11-02 14:22:59,One of the best mobile banking apps I've used,0,one of the best mobile banking apps ive used
Jim Brown,1,2023-11-01 17:32:49,Unable to set a fixed view of accounts in the app so everytime I open app I see all accounts and have to manually filter EVRY time,0,unable to set a fixed view of accounts in the app so everytime i open app i see all accounts and have to manually filter evry time
Rajeev Ranjan,5,2023-11-01 10:15:41,Easy to use and navigate.,0,easy to use and navigate
Keith Jensen,1,2023-11-01 05:44:56,It will not download to my phone after several attempts. I followed all of the steps.,0,it will not download to my phone after several attempts i followed all of the steps
Anup Ganguly,3,2023-10-31 12:22:29,The app is good but takes a lot of time to load in Android. Even with good internet speed with mobile network and WiFi it doesn't improve.,5,the app is good but takes a lot of time to load in android even with good internet speed with mobile network and wifi it doesnt improve
Vinaya Hegde,1,2023-10-30 12:02:01,Worst banking app ever used.,0,worst banking app ever used
Sean,1,2023-10-27 06:11:57,"Multi-factor authentication is one thing, but this app prompts you to enter your password, which has absurd security guidelines that do not even make it more secure, in order to create a PIN, and then won't let you do anything -- and I mean anything -- without re-entering that password AND forcing you to allow location data to even login. HSBC is miles behind every other bank in Canada. I hope RBC destroys all of their products and we can all pretend this horrendous establishement never existed.",7,multifactor authentication is one thing but this app prompts you to enter your password which has absurd security guidelines that do not even make it more secure in order to create a pin and then wont let you do anything and i mean anything without reentering that password and forcing you to allow location data to even login hsbc is miles behind every other bank in canada i hope rbc destroys all of their products and we can all pretend this horrendous establishement never existed
Ali Said,3,2023-10-25 20:16:24,Could be much much friendlier to use.,0,could be much much friendlier to use
Akhilesh singh,1,2023-10-22 17:45:51,Horror,0,horror
Bruce Bruce,5,2023-10-22 03:43:16,"Fantastic app, easy to use",0,fantastic app easy to use
Sven Wusthoff,1,2023-10-20 19:26:57,Slow constantly crashes and times out. Worst banking app ever.,0,slow constantly crashes and times out worst banking app ever
Tobias Read,1,2023-10-20 19:17:59,"Very awkward to use, the most user unfriendly app I use by far. Also check scanning for deposits does not work on Galaxy S21. Big issue for me.",1,very awkward to use the most user unfriendly app i use by far also check scanning for deposits does not work on galaxy s big issue for me
Samarth Cs,2,2023-10-19 20:06:14,Cannot initiate payments to beneficiaries already added. The beneficiary search doesn't work at all.,0,cannot initiate payments to beneficiaries already added the beneficiary search doesnt work at all
Pallab Roy,1,2023-10-19 13:03:32,"Can't make payments, does not work most of the times please improve the app asap",1,cant make payments does not work most of the times please improve the app asap
Suzanne Victor,1,2023-10-18 17:45:41,Mobile deposit is horrible,0,mobile deposit is horrible
Sarah L,1,2023-10-16 14:11:03,Won't open at all since new update. Fantastic for an app that I need to use daily. 🙄,0,wont open at all since new update fantastic for an app that i need to use daily
Nived Manaji,1,2023-10-14 10:35:31,Update in every 10-15 days,0,update in every days
Yulius Agung,1,2023-10-12 12:54:47,"Lemot gila, susah mau approve.. Internet padahal kenceng..",0,lemot gila susah mau approve internet padahal kenceng
Sunita Meta,5,2023-10-06 09:06:20,Thank you,0,thank you
Tirumala Srinivasa Rao,5,2023-09-29 08:12:41,User friendly and quick process. Appreciate it,0,user friendly and quick process appreciate it
Diwakar Painuli,5,2023-09-28 20:46:07,Amazing app,0,amazing app
Hemlock,3,2023-09-27 23:12:50,Overall ok,1,overall ok
buddy Loyal,5,2023-09-22 09:04:53,User friendly,0,user friendly
Bandar Fouzan,1,2023-09-19 18:59:22,slow slow slow!!,0,slow slow slow
Suzanne Sap,1,2023-09-18 19:25:06,Too many glitches. App is always asking for courtesy amount. Auto capture is unstable leaving a blurry check image that has to be completed numerous times. Very frustrating. Much easier to go to the bank if there was actually a branch in the area where I am employed. Not a fan Of the app or HSBC App is awful. 9/18/23 horrible app we hope to change banks soon,6,too many glitches app is always asking for courtesy amount auto capture is unstable leaving a blurry check image that has to be completed numerous times very frustrating much easier to go to the bank if there was actually a branch in the area where i am employed not a fan of the app or hsbc app is awful horrible app we hope to change banks soon
Gapper's Racing,1,2023-09-14 01:12:09,No se puede hacer nada en esta app.,0,no se puede hacer nada en esta app
Marco Antonio Salas,5,2023-09-12 03:12:45,Super fast and Reliable,0,super fast and reliable
Ivalaine,1,2023-09-11 22:03:42,App is very slow to respond,0,app is very slow to respond
Jon Gus,1,2023-09-11 20:11:57,Forced me to update and now the app doesn't work - it hangs whilst glitching after step 1.,0,forced me to update and now the app doesnt work it hangs whilst glitching after step
Arun kumar,3,2023-09-11 12:34:59,Good 👍,0,good
nilantha,1,2023-09-11 09:25:54,Worst..,0,worst
LeBrownies Q,1,2023-09-10 12:16:41,Could not generate security code after last update,0,could not generate security code after last update
Md. Jahangir Alam Sarker,5,2023-09-09 15:27:44,Wow,0,wow
Sreerag Ar,1,2023-09-09 14:23:48,This app sucks.mailed a complaint to the bank.but no solution .,0,this app sucksmailed a complaint to the bankbut no solution
Amar Srivastava,1,2023-09-06 21:05:01,Worst app to use. Every time it does not able to authorise login,0,worst app to use every time it does not able to authorise login
Allan Machin,1,2023-09-05 19:03:45,The whole system is badly constructed. The move from SVB inept. And daily transactions too cumbersome,0,the whole system is badly constructed the move from svb inept and daily transactions too cumbersome
Kay Mock,5,2023-09-01 14:41:19,Fast,0,fast
Martin Belanger,4,2023-09-01 01:40:39,Need a faster app,0,need a faster app
Karen Baylis,5,2023-08-31 15:00:29,Clear and very easy to use,0,clear and very easy to use
Aimee Wong,1,2023-08-30 13:10:56,Shocking app. Just terrible.,0,shocking app just terrible
Jeremy Lee (Biggpiggy),1,2023-08-30 06:49:30,Slow and requiring verification repetitiously. UI not user friendly. Worst banking app ever,0,slow and requiring verification repetitiously ui not user friendly worst banking app ever
Levite612,1,2023-08-28 08:39:00,Not user friendly. Asked for authentication on app but app itself only shows trade tracker.,0,not user friendly asked for authentication on app but app itself only shows trade tracker
Bruce Blannin,5,2023-08-25 09:19:16,Easy to use,0,easy to use
Hazel Ralph,2,2023-08-24 00:34:40,"Very slow to load and process. Takes at least 3 attempts to open every time you use it,keeps saying no network despite being on clear secure WiFi and having full 4G phone reception",1,very slow to load and process takes at least attempts to open every time you use itkeeps saying no network despite being on clear secure wifi and having full g phone reception
Andrew Stickler,1,2023-08-23 15:20:07,"Received a notification of a payment to approve, approved it in the app. Then 5 mins later got another notification but after entering the app and seeing 1 approval pending, the next level down said there were none. Apps are supposed to save time, not waste it.",4,received a notification of a payment to approve approved it in the app then mins later got another notification but after entering the app and seeing approval pending the next level down said there were none apps are supposed to save time not waste it
Narendra Babu,1,2023-08-22 08:22:30,Worst app,0,worst app
Naresh Kothari,5,2023-08-14 17:47:56,Super easy to use,0,super easy to use
Marc Young,5,2023-08-02 23:23:27,Works ABSOLUTELY perfectly. Depositing checks works especially well,0,works absolutely perfectly depositing checks works especially well
Dennis Demello,5,2023-07-24 23:15:00,Easy to use,1,easy to use
A Google user,2,2023-07-24 12:35:30,Slow to access and cannot easily see transaction history.,0,slow to access and cannot easily see transaction history
Ivan Budiman,1,2023-07-17 06:55:08,Just dont even try to use it. Stupid apps keeps making useless mandatory updates.,1,just dont even try to use it stupid apps keeps making useless mandatory updates
Tina,2,2023-07-14 22:13:28,"So frustrating... new checks have patterns in background and this app is not equipped to handle. Repetitive messages of deposit cancellations due to not being able to recognize printed signatures on checks or money orders. I have a very good camera but the image becomes garbage when the ""photo"" is taken. Have to revert to mailing checks directly, huge step backward bc HSBC can't keep up with technology.",2,so frustrating new checks have patterns in background and this app is not equipped to handle repetitive messages of deposit cancellations due to not being able to recognize printed signatures on checks or money orders i have a very good camera but the image becomes garbage when the photo is taken have to revert to mailing checks directly huge step backward bc hsbc cant keep up with technology
Marisa Amos,3,2023-07-14 16:57:12,I always have issues logging in. App slow on phone. I'm not sure if it's my home internet but everything else works well.,0,i always have issues logging in app slow on phone im not sure if its my home internet but everything else works well
Sandhya Saiju,5,2023-07-11 11:17:40,Best,0,best
Guruprasad Rao,5,2023-07-11 09:26:10,"Great, Simple, No Nonsense User Interface",0,great simple no nonsense user interface
Maher Haddad,1,2023-07-08 02:07:57,Horrible banking experience :(,0,horrible banking experience
chollin selvan,1,2023-07-05 17:53:49,Worst... Very very slow,0,worst very very slow
Viswanathan Ramesh,5,2023-07-03 13:11:25,Like the ease of access from anywhere,0,like the ease of access from anywhere
Eric Pong,1,2023-07-03 06:56:30,Camera is lousy.,0,camera is lousy
Ashiwashi Snaps,2,2023-07-01 13:00:12,"Slow, limited options compared to other banks, and instant payment takes 3 to 4 hrs to clear which is nit very good for small businesses. Will switch banks. On positive side. Extremely safe",2,slow limited options compared to other banks and instant payment takes to hrs to clear which is nit very good for small businesses will switch banks on positive side extremely safe
Robert Hughes,2,2023-06-30 23:22:51,Does not work very well. Everything must be done on the website.,0,does not work very well everything must be done on the website
Liz Hoefsmit,5,2023-06-30 16:43:58,Really happy with the app as enables me to easily authorise payments on the move along with monitoring balances and general activity.,0,really happy with the app as enables me to easily authorise payments on the move along with monitoring balances and general activity
Hunny More,2,2023-06-30 10:25:40,Unable to use after recent updates,0,unable to use after recent updates
Daniel Bressan,1,2023-06-28 03:21:43,"Worst banking app I've ever used. Crashes regularly trying to Mobile deposit checks. Over the past year I've submitted probably three dozen crash reports and nothing has changed. And every time it crashes or even when it doesn't register the picture, you have to go all the way back to the beginning and do it all over again. Takes me regularly 10 to 15 minutes to deposit a single check.",19,worst banking app ive ever used crashes regularly trying to mobile deposit checks over the past year ive submitted probably three dozen crash reports and nothing has changed and every time it crashes or even when it doesnt register the picture you have to go all the way back to the beginning and do it all over again takes me regularly to minutes to deposit a single check
D CB,4,2023-06-27 18:55:09,"Very buggy, but it does a pretty good job covering banking needs.",0,very buggy but it does a pretty good job covering banking needs
Marc Leduc,2,2023-06-23 23:30:45,"Some of my customers are French Canadians. Still cannot deposit french cheques. Une des raisons principale que j'utilise cet app est pour faire des dépôts de chèque. Hors, l'application me donne toujours un message qu'il ne reconnaît pas le montant indiqué. Toujous des difficultées à déposer des chèques en français, après 2ans.",0,some of my customers are french canadians still cannot deposit french cheques une des raisons principale que jutilise cet app est pour faire des dpts de chque hors lapplication me donne toujours un message quil ne reconnat pas le montant indiqu toujous des difficultes dposer des chques en franais aprs ans
rohit katiyar,1,2023-06-22 12:19:45,Worst app.,0,worst app
khem G,1,2023-06-15 17:11:53,"Slow, clunky, poor design, gets stuck on login screen have to repeatedly bash the login button, then when you get to the password stage, it throws you back out",5,slow clunky poor design gets stuck on login screen have to repeatedly bash the login button then when you get to the password stage it throws you back out
Xyje,1,2023-06-12 09:29:25,"Unable to use today after update, top left keep blinking for android logo, unable to upload screen record here as proof",0,unable to use today after update top left keep blinking for android logo unable to upload screen record here as proof
Bangalore Fashion Company,1,2023-06-11 07:10:17,Too slow.,0,too slow
Farhad Sordar,5,2023-06-06 23:11:07,Need more easy for transfer,0,need more easy for transfer
Sarah Carter,1,2023-06-06 20:28:20,I can't even see my accounts nothing comes up,0,i cant even see my accounts nothing comes up
Amir Finnmark Studio,2,2023-05-31 03:54:38,"Sometimes it prompts me to update to a new version but when I click to update, there's no update button on the Google Play, there's on 'Open' button. If you don't have an update, don't ask users to update.",2,sometimes it prompts me to update to a new version but when i click to update theres no update button on the google play theres on open button if you dont have an update dont ask users to update
Prasad Bhandari,4,2023-05-27 08:04:33,Overall good.,0,overall good
Cyril JOURNOUX,1,2023-05-26 03:33:35,Major issues and bugs on this app. Authentication is clunky and works 20% of the time. Next day transaction information are erroneous. Very poor,4,major issues and bugs on this app authentication is clunky and works of the time next day transaction information are erroneous very poor
Shahzad Rasool,1,2023-05-25 00:17:38,"It's very slow to open, and just keep buffering at the start. Waiting time to accept the notification is passed while the app keeps buffering. It's very frustrating. I want to use their old-fashioned red token device.",11,its very slow to open and just keep buffering at the start waiting time to accept the notification is passed while the app keeps buffering its very frustrating i want to use their oldfashioned red token device
Elizabeth Vincent,1,2023-05-24 05:33:30,"If I could give no stars, I would. You should view some of your competitors banking apps for improvements. This app/bank system in general is very clunky, not clear, nor user-friendly, and security is over the top. An over thought system, without thinking about users.",8,if i could give no stars i would you should view some of your competitors banking apps for improvements this appbank system in general is very clunky not clear nor userfriendly and security is over the top an over thought system without thinking about users
Richard Wilson,3,2023-05-17 17:52:01,"When it works, it is fine. I have a 50% success rate in using it, often a blank white screen or random error messages.",3,when it works it is fine i have a success rate in using it often a blank white screen or random error messages
Daevian Coco,1,2023-05-17 12:30:09,Authenticate on your device failed. I cannot open the notification and I tried the security code also crashed. Please fix this.,2,authenticate on your device failed i cannot open the notification and i tried the security code also crashed please fix this
John Geissler,5,2023-05-16 04:29:13,Great for mobile deposits.,0,great for mobile deposits
Gaurav Sood,5,2023-05-10 18:50:01,Nice app,0,nice app
Jason Sykora,1,2023-05-09 06:27:14,Latest Android update broke it so I can't authenticate or generate code to login on computer. Avoid updating if you can,1,latest android update broke it so i cant authenticate or generate code to login on computer avoid updating if you can
Bostaf,1,2023-05-07 20:45:33,Useless apps and very slow... Who made this stupid apps...?,0,useless apps and very slow who made this stupid apps
AMZ,1,2023-04-30 19:55:05,The App always takes long time to open sometimes doesn't even open,0,the app always takes long time to open sometimes doesnt even open
Anand Saban,1,2023-04-28 09:11:58,Useless,0,useless
Dahyalal Pandya,1,2023-04-21 12:53:49,"Extremely poor and complex user interface, too slow screen response, completely unhappy, other banks like HDFC have far better experience.",2,extremely poor and complex user interface too slow screen response completely unhappy other banks like hdfc have far better experience
John MARDINI,1,2023-04-17 20:05:26,"The entire App is not working properly, many times does not recognize the account name, and to add insult to injury claims that it is a network issue! Does not diverse the effort spent on having it",3,the entire app is not working properly many times does not recognize the account name and to add insult to injury claims that it is a network issue does not diverse the effort spent on having it
Atul Sharma,5,2023-04-15 15:11:10,Easy and secure to use,0,easy and secure to use
James Keeton,5,2023-04-14 19:07:14,very good banking app,0,very good banking app
Tolga Nizam,1,2023-04-05 22:28:44,"I have been using multiple online banking apps (almost 20) in multiple countries and the HSBCNet app is the hardest/confusing one to use. Clearly, the developers do not have any understanding of ""business"".",2,i have been using multiple online banking apps almost in multiple countries and the hsbcnet app is the hardestconfusing one to use clearly the developers do not have any understanding of business
Ashley Taje,1,2023-04-03 17:44:24,"Cheque deposit feature rarely works, it's awful",0,cheque deposit feature rarely works its awful
Ritika Khanna,5,2023-03-27 20:54:11,Great,0,great
Deval Patel,1,2023-03-25 14:16:31,Not happy with mobile login system,0,not happy with mobile login system
Amr Tamraz,5,2023-03-15 11:47:14,Commercial banking couldn't be easier...this app is easy and swift compared to any other commercial banking app....good job HSBC 💯,0,commercial banking couldnt be easierthis app is easy and swift compared to any other commercial banking appgood job hsbc
Paul McCluskey,1,2023-03-13 22:01:08,Check depositing only works 1 in 10 times. Appallingly unreliable and untested.,0,check depositing only works in times appallingly unreliable and untested
liav Even Chen,1,2023-03-12 19:37:57,Bad user experience. The user is the last thing the bank thinks about in this app,0,bad user experience the user is the last thing the bank thinks about in this app
Kit,1,2023-03-09 13:34:44,Unstable. Function to generate code and get the push authentication doesn't work all the time.,0,unstable function to generate code and get the push authentication doesnt work all the time
Krishna Lohar,1,2023-03-09 11:08:38,Too slow and lagging infinity time,0,too slow and lagging infinity time
Tariq Al rajhi,2,2023-03-08 16:04:50,Very slow in Android compare to IOS no sadad services like web site,0,very slow in android compare to ios no sadad services like web site
Hapi Dhindsa,1,2023-03-07 04:20:27,Unable to download the app. Unable to login in mobile banking,0,unable to download the app unable to login in mobile banking
Jayendra N. Markandu,5,2023-03-03 06:35:52,This is what we call the real banking experience.,0,this is what we call the real banking experience
Average Critic,2,2023-03-01 00:24:59,Mobile Authentication no longer being received. I guess I have to go back using those annoying plastic security device,0,mobile authentication no longer being received i guess i have to go back using those annoying plastic security device
Yousef Al Tuwairqi,1,2023-02-28 21:42:38,very slow to login no matter what your Internet speed is,4,very slow to login no matter what your internet speed is
elsa fauzia,1,2023-02-26 12:31:59,i can't generate the code or fingerprint for login website after the last updated.,0,i cant generate the code or fingerprint for login website after the last updated
O Pat,1,2023-02-25 12:59:02,"Avoid HSBC for INDIA business. This App is given for HSBCnet users authentication and approvals. HSBC India in general, is useless for all statutory payments, tax payments as it uses other bank's platform and moreover overcharges you fees, often all payments process will be delayed, bounce without intimation. Many errors on the App as it never loads, never gives you code generator link on time. Totally unclear instruction to reach customer care. If you've maker checker Matrix forget HSBC India.",1,avoid hsbc for india business this app is given for hsbcnet users authentication and approvals hsbc india in general is useless for all statutory payments tax payments as it uses other banks platform and moreover overcharges you fees often all payments process will be delayed bounce without intimation many errors on the app as it never loads never gives you code generator link on time totally unclear instruction to reach customer care if youve maker checker matrix forget hsbc india
Sneha Lathav,1,2023-02-24 10:35:36,"Updated version is not working at all, it's making me pissedoff",0,updated version is not working at all its making me pissedoff
Graham Knight,1,2023-02-24 07:56:08,"Slow, frustrating amounts of re-re-re authorisation and crashes when using fingerprint ID. Like everything from HSBC absolutely zero value placed on customer experience. Won't bother complaining either because it's impossible to find anyone who cares in that organisation.",11,slow frustrating amounts of rerere authorisation and crashes when using fingerprint id like everything from hsbc absolutely zero value placed on customer experience wont bother complaining either because its impossible to find anyone who cares in that organisation
Barry H,4,2023-02-16 03:54:45,The camera is super touchy when using it to do mobile cheque deposits,0,the camera is super touchy when using it to do mobile cheque deposits
lawrence fu,3,2023-02-14 06:29:29,Slow start up,0,slow start up
Roland Leupolt,5,2023-02-12 20:45:23,Excellent !,0,excellent
Nabeel Al-ramadhani,5,2023-02-11 01:30:47,Easy to use and helpful,0,easy to use and helpful
Sandeep Menon,1,2023-02-10 06:21:06,Terrible app. Worst UX of any banking app I have used.,0,terrible app worst ux of any banking app i have used
Glen Harding,1,2023-02-09 03:12:41,"Incredibly poor, not the slightest intuitive and the support team are very poor at speaking English and don't help if you have an urgent fraud case.",0,incredibly poor not the slightest intuitive and the support team are very poor at speaking english and dont help if you have an urgent fraud case
Ahmed,2,2023-02-08 10:48:07,لماءا لا يوجد خدمات الدفع من التطبيق سواء الفواتير او التحويلات للمستفيدين,0,
hassan riyash,5,2023-02-07 12:59:29,Easy to use,0,easy to use
D Hill,1,2023-02-03 07:41:09,"Nothing but problems with the mobile deposit. Says it will take the picture for me, BS. WORST ONLINE BANKING EXPERIENCE EVER",0,nothing but problems with the mobile deposit says it will take the picture for me bs worst online banking experience ever
David Anderson,5,2023-02-02 21:39:19,Excellent,0,excellent
john nucatola,2,2023-01-30 23:14:11,No longer functioning correctly,0,no longer functioning correctly
rajashekar reddy,1,2023-01-25 11:35:40,Worst all asking update,0,worst all asking update
Amit Puri,1,2023-01-18 14:05:14,Login issues if other apps are open. Crashed very often too. Using on Samsung Zfold 4.,4,login issues if other apps are open crashed very often too using on samsung zfold
Siddharth doshi,5,2023-01-10 11:41:22,Good,0,good
baalshastri pandit,1,2023-01-10 09:12:42,"Bugs. When generating code for login, the app keeps on showing Android icon with flickering screen.",0,bugs when generating code for login the app keeps on showing android icon with flickering screen
Andy Ly,1,2023-01-08 03:45:56,Worst app. Can not deposit cheque,0,worst app can not deposit cheque
cam winters,1,2023-01-04 02:00:52,It's sucks. I can't receive e-transfers or do transfer to my personal accounts,0,its sucks i cant receive etransfers or do transfer to my personal accounts
Donal Dunne,1,2023-01-03 13:32:49,Possibly the worst banking app I've ever used,1,possibly the worst banking app ive ever used
Sayantani Mitra De,1,2023-01-02 18:57:52,Tremendous slow and non friendly,0,tremendous slow and non friendly
Aristyo Lim,5,2023-01-02 08:19:38,Best corporate banking mobile system I've ever used,0,best corporate banking mobile system ive ever used
mission group,5,2022-12-30 17:14:05,Perfect,0,perfect
A Google user,1,2022-12-27 19:15:04,Extremely slowly.,0,extremely slowly
Vanessa Ng,1,2022-12-24 12:47:44,I don't like the new incorporated cashflow portion because i cannot see the full pictures of the specified dates that i want to view. i usually use my mobile to track and see credit receipts. But i cannot see the date of receipts that i want to view. No good.. plse don't put in the cash flow portion. So not user friendly at all.,1,i dont like the new incorporated cashflow portion because i cannot see the full pictures of the specified dates that i want to view i usually use my mobile to track and see credit receipts but i cannot see the date of receipts that i want to view no good plse dont put in the cash flow portion so not user friendly at all
Glynnis Williams,3,2022-12-21 14:18:09,Slow. But better than the web portal.,0,slow but better than the web portal
Martyn Gaudion,3,2022-12-14 19:30:01,I wish the notifications would auto clear if another staff member authorises a payment. Have to keep logging in when payments are already authorised.. :-( otherwise app is OK,0,i wish the notifications would auto clear if another staff member authorises a payment have to keep logging in when payments are already authorised otherwise app is ok
Roy Pellarin,2,2022-12-05 22:18:23,Difficult to navigate.,0,difficult to navigate
Sandaruwan Mahagedara,2,2022-12-05 19:27:30,It's so painful to use this app. Every month I have to remove it and install back.,0,its so painful to use this app every month i have to remove it and install back
Kelly Ethier,1,2022-12-03 22:22:01,EDIT: I have tried taking a picture of a cheque on a dark background and still had the same issue. I've turned the lights off in my office and this didn't make a difference either. On my old phone I almost never was able to capture a cheque image but on my new phone the app takes pictures prematurely and I have to take 3 or 4 images sometimes before it is accepted.,11,edit i have tried taking a picture of a cheque on a dark background and still had the same issue ive turned the lights off in my office and this didnt make a difference either on my old phone i almost never was able to capture a cheque image but on my new phone the app takes pictures prematurely and i have to take or images sometimes before it is accepted
Lim Wendy,5,2022-12-02 08:30:30,Good for mobile approval,1,good for mobile approval
mohamed hussein,5,2022-12-01 10:29:09,Very good,0,very good
Wendy Lim,5,2022-12-01 09:01:54,So far so good,0,so far so good
Shorab Khan,1,2022-11-30 15:41:07,Worst app does't open when needed for urgent work,1,worst app doest open when needed for urgent work
Vivan,5,2022-11-25 20:57:58,Great,0,great
Amr Aljallal,1,2022-11-24 22:12:22,Slow and bad user experience. Sabb services not enabled.,0,slow and bad user experience sabb services not enabled
David Amos,3,2022-11-16 19:18:39,"It is disappointing that the ""dongle"" still needs to be used for authorisation code.",0,it is disappointing that the dongle still needs to be used for authorisation code
Sunil Patil,2,2022-11-15 13:05:16,Bad experience,0,bad experience
Prabu D,5,2022-11-14 11:09:25,Good,0,good
Abdelmeguid Mahmoud,5,2022-11-07 01:19:29,Excellent,0,excellent
Peter Cheung,1,2022-11-05 01:53:24,"Under transaction and recent, it's just showing current day transactions. I have used 6 other mobile bank apps, including HSBC.Ca and HSBC.HK, they all able to show transaction history. This is one of the basic banking fundamental, It's disappointing not able to see my deposits from HSBC InvestDirect, because the deposits were all processed at night and it wouldn't show under recent transactions. I have gone through the feedback, and some users had requested on 2022-07-30 2022-09-19 2022-09-22.",2,under transaction and recent its just showing current day transactions i have used other mobile bank apps including hsbcca and hsbchk they all able to show transaction history this is one of the basic banking fundamental its disappointing not able to see my deposits from hsbc investdirect because the deposits were all processed at night and it wouldnt show under recent transactions i have gone through the feedback and some users had requested on
Naresh Gupta,5,2022-11-03 10:45:27,Excellent,0,excellent
Kay Laird,3,2022-11-02 23:51:24,Exit is spelled wrong on the deposit portion of the app.,0,exit is spelled wrong on the deposit portion of the app
Adam H,1,2022-11-02 22:18:17,"Update: had to completely uninstall app,reboot phone, reinstall app, redo login biometrics etc. Now works. Still doesn't show payees inside the app. Funny how this billion dollar bank can't afford competent app developers. This app forces an update and then no longer works. Log on code page won't load. Payee page won't list payees so I can't pay anyone from the app itself or the web interface. This is a BUSINESS account app!! What in the ever loving eff!! Why are we beta testing your app?!",4,update had to completely uninstall appreboot phone reinstall app redo login biometrics etc now works still doesnt show payees inside the app funny how this billion dollar bank cant afford competent app developers this app forces an update and then no longer works log on code page wont load payee page wont list payees so i cant pay anyone from the app itself or the web interface this is a business account app what in the ever loving eff why are we beta testing your app
Pradeep Panwar,5,2022-11-02 11:45:27,Very secure and great interface,0,very secure and great interface
Gordon MacKeracher,1,2022-11-01 03:07:47,Awful banking experience.,0,awful banking experience
Rod W McBride,4,2022-10-31 11:03:41,"Efficient, saves time rather than using computer.",0,efficient saves time rather than using computer
Yogesh Chauhan,4,2022-10-29 09:46:24,I am unable to update hsbc app,0,i am unable to update hsbc app
Alex Fisher,2,2022-10-22 02:23:03,"I guess I can live with it. I generally have to resend authorization to my token. The mobile app is severely lacking in what I can do versus the desktop login. If that is by design, it's a poor design.",1,i guess i can live with it i generally have to resend authorization to my token the mobile app is severely lacking in what i can do versus the desktop login if that is by design its a poor design
